invoice_date,type,order_id,sku,asin,quantity,taxable_value,gst_rate,state_code,channel,gstin,month
2025-06-04 13:25:48,,408-2877618-7539541,LLQ-LAV-3L-FBA,B0CZXQMSR5,1,449.0,0.18,ANDHRA PRADESH,amazon,06ABGCS4796R1ZA,2025-08
2025-06-26 14:38:19,,406-7575378-4478758,FABCON-5L-FBA,B09MZ2LBXB,1,1059.0,0.18,KARNATAKA,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 13:38:13,,402-0648612-0706732,90-X8YV-Q3DM,B0CZXQMSR5,1,449.0,0.0,DELHI,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 14:45:36,,403-9446252-3480364,DW-5L,B09P7P7P32,1,999.0,0.18,JAMMU & KASHMIR,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 13:23:53,,406-1723217-0871527,SD-620A-K20G,B0CZX5LX3X,2,1282.0,0.18,TELANGANA,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 21:58:35,,406-1400470-0957151,FABCON-5L,B09MZ2LBXB,4,4236.0,0.0,DELHI,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 23:46:16,,406-6622739-1582763,KOPAROFABCON,B093HFKP28,1,212.0,0.18,MAHARASHTRA,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 20:09:26,,402-4296222-6608310,TOILETCLEANER,B0D4NGD87J,1,215.0,0.18,PUNJAB,amazon,06ABGCS4796R1ZA,2025-08
2025-06-07 08:02:00,,406-2513960-3447528,FABCON-5L,B09MZ2LBXB,1,1059.0,0.18,MAHARASHTRA,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 18:17:02,,404-9050773-3549107,TOILETCLEANER,B0D4NGD87J,1,215.0,0.18,HARYANA,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 19:16:20,,407-6247108-3632365,FABCON-5L,B09MZ2LBXB,1,1059.0,0.18,GUJARAT,amazon,06ABGCS4796R1ZA,2025-08
2025-06-07 10:03:22,,407-0747577-8448360,KOPAROFABCON,B093HFKP28,1,212.0,0.18,MAHARASHTRA,amazon,06ABGCS4796R1ZA,2025-08
2025-06-06 20:09:12,,402-4620276-3293900,MAGICERASER-4,B0C37LG1LH,2,690.0,0.18,MAHARASHTRA,amazon,06ABGCS4796R1ZA,2025-08
